"","plantspeciescut2df[!grepl(""sp."", plantspeciescut2df$plantspeciescut), ]","species"
"1525","Zanthoxylum flavum","Zanthoxylum flavum"
"1526","Plumeria alba","Plumeria alba"
"1527","Crossopetalum rhacoma","Crossopetalum rhacoma"
"1528","Vanilla barbellata","Vanilla barbellata"
"1529","Cordia bahamensis","Cordia bahamensis"
"1530","Chiococca alba","Chiococca alba"
"1531","Hypelate trifoliata","Hypelate trifoliata"
"1532","Tabebuia heterophylla","Tabebuia heterophylla"
"1533","Hirtella triandra","Hirtella triandra"
"1534","Stenandrium tuberosum","Stenandrium tuberosum"
"1535","Jacquinia armillaris","Jacquinia armillaris"
"1536","Ipomoea imperati","Ipomoea imperati"
"1537","Gyminda latifolia","Gyminda latifolia"
"1538","Phyllanthus epiphyllanthus","Phyllanthus epiphyllanthus"
"1539","Jacquemontia cumanensis","Jacquemontia cumanensis"
"1540","Capparis cynophallophora","Capparis cynophallophora"
"1541","Pisonia aculeata","Pisonia aculeata"
"1542","Tillandsia fasciculata","Tillandsia fasciculata"
"1543","Pithecellobium dulce","Pithecellobium dulce"
"1544","Croton betulinus","Croton betulinus"
"1545","Clusia rosea","Clusia rosea"
"1546","Cordia alliodora","Cordia alliodora"
"1547","Mesadenus lucayanus","Mesadenus lucayanus"
"1548","Chamaesyce articulata","Chamaesyce articulata"
"1549","Eugenia axillaris","Eugenia axillaris"
"1550","Erythroxylum rotundifolium","Erythroxylum rotundifolium"
"1551","Commelina diffusa","Commelina diffusa"
"1552","Psychilis krugii","Psychilis krugii"
"1553","Sida jamaicensis","Sida jamaicensis"
"1554","Turnera diffusa","Turnera diffusa"
"1555","Ficus citrifolia","Ficus citrifolia"
"1556","Galactia dubia","Galactia dubia"
"1557","Jasminum fluminense","Jasminum fluminense"
"1558","Reynosia guama","Reynosia guama"
"1559","Ayenia insulicola","Ayenia insulicola"
"1560","Bourreria virgata","Bourreria virgata"
"1561","Corchorus hirtus","Corchorus hirtus"
"1562","Sideroxylon salicifolium","Sideroxylon salicifolium"
"1563","Passiflora bilobata","Passiflora bilobata"
"1564","Chromolaena sinuata","Chromolaena sinuata"
"1565","Piptocoma acevedoi","Piptocoma acevedoi"
"1566","Pilophorus robustus","Pilophorus robustus"
"1567","Prestonia agglutinata","Prestonia agglutinata"
"1568","Wedelia fruticosa","Wedelia fruticosa"
"1569","Leucothrinax morrisii","Leucothrinax morrisii"
"1570","Swietenia mahagoni","Swietenia mahagoni"
"1571","Bastardia viscosa","Bastardia viscosa"
"1572","Machaonia portoricensis","Machaonia portoricensis"
"1573","Opuntia triacantha","Opuntia triacantha"
"1574","Manihot esculenta","Manihot esculenta"
"1575","Jacquemontia solanifolia","Jacquemontia solanifolia"
"1576","Pseudabutilon umbellatum","Pseudabutilon umbellatum"
"1577","Opuntia repens","Opuntia repens"
"1578","Erythroxylum brevipes","Erythroxylum brevipes"
"1579","Rivina humilis","Rivina humilis"
"1580","Wissadula amplissima","Wissadula amplissima"
"1581","Ipomoea nil","Ipomoea nil"
"1582","Melochia tomentosa","Melochia tomentosa"
"1583","Helianthus annuus","Helianthus annuus"
"1584","Matelea maritima","Matelea maritima"
"1585","Lantana reticulata","Lantana reticulata"
"1586","Lantana camara","Lantana camara"
"1587","Myrcianthes fragrans","Myrcianthes fragrans"
"1588","Hypotrachyna thysanota","Hypotrachyna thysanota"
"1589","Jatropha hernandiifolia","Jatropha hernandiifolia"
"1590","Duranta erecta","Duranta erecta"
"1591","Eugenia monticola","Eugenia monticola"
"1592","Savia sessiliflora","Savia sessiliflora"
"1593","Consolea rubescens","Consolea rubescens"
"1594","Randia portoricensis","Randia portoricensis"
"1595","Spermacoce confusa","Spermacoce confusa"
"1596","Opuntia dillenii","Opuntia dillenii"
"1597","Corchorus hirsutus","Corchorus hirsutus"
"1598","Forestiera segregata","Forestiera segregata"
"1599","Acacia farnesiana","Acacia farnesiana"
"1600","Pseudanamomis umbellulifera","Pseudanamomis umbellulifera"
"1601","Ruellia tuberosa","Ruellia tuberosa"
"1602","Canna indica","Canna indica"
"1603","Tamarindus indica","Tamarindus indica"
"1604","Senna siamea","Senna siamea"
"1605","Cissus obovata","Cissus obovata"
"1606","Cordia rupicola","Cordia rupicola"
"1607","Ximenia americana","Ximenia americana"
"1608","Polygala penaea","Polygala penaea"
"1609","Thouinia striata","Thouinia striata"
"1610","Krameria ixine","Krameria ixine"
"1611","Cynanchum lineare","Cynanchum lineare"
"1612","Chamaesyce thymifolia","Chamaesyce thymifolia"
"1613","Guapira fragrans","Guapira fragrans"
"1614","Scopelophila ligulata","Scopelophila ligulata"
"1615","Phoradendron anceps","Phoradendron anceps"
"1616","Guapira discolor","Guapira discolor"
"1617","Rondeletia inermis","Rondeletia inermis"
"1618","Sida abutifolia","Sida abutifolia"
"1619","Colubrina verrucosa","Colubrina verrucosa"
"1620","Diodia apiculata","Diodia apiculata"
"1621","Rauvolfia viridis","Rauvolfia viridis"
"1622","Coenogonium missouriense","Coenogonium missouriense"
"1623","Melocactus intortus","Melocactus intortus"
"1624","Poitea florida","Poitea florida"
"1625","Poitea paucifolia","Poitea paucifolia"
"1626","Guapira obtusata","Guapira obtusata"
"1627","Wedelia lanceolata","Wedelia lanceolata"
"1628","Ocimum campechianum","Ocimum campechianum"
"1629","Sida glabra","Sida glabra"
"1630","Porophyllum leiocarpum","Porophyllum leiocarpum"
"1631","Salvia serotina","Salvia serotina"
"1632","Euphorbia petiolaris","Euphorbia petiolaris"
"1633","Abrus precatorius","Abrus precatorius"
"1634","Adelia ricinella","Adelia ricinella"
"1635","Senna uniflora","Senna uniflora"
"1636","Catesbaea parviflora","Catesbaea parviflora"
"1637","Rorippa indica","Rorippa indica"
"1638","Rauvolfia nitida","Rauvolfia nitida"
"1639","Ichnanthus pallens","Ichnanthus pallens"
"1640","Talinum triangulare","Talinum triangulare"
"1641","Crotalaria trichotoma","Crotalaria trichotoma"
"1642","Abutilon hirtum","Abutilon hirtum"
"1643","Jatropha gossypiifolia","Jatropha gossypiifolia"
"1644","Spigelia anthelmia","Spigelia anthelmia"
"1645","Jatropha curcas","Jatropha curcas"
"1646","Erythroxylum rufum","Erythroxylum rufum"
"1647","Crotalaria verrucosa","Crotalaria verrucosa"
"1648","Tephrosia senna","Tephrosia senna"
"1649","Chrysophyllum argenteum","Chrysophyllum argenteum"
"1650","Lepidium virginicum","Lepidium virginicum"
"1651","Cinnamomum verum","Cinnamomum verum"
"1652","Sporobolus indicus","Sporobolus indicus"
"1653","Bunchosia glandulosa","Bunchosia glandulosa"
"1654","Cissus verticillata","Cissus verticillata"
"1655","Amaranthus dubius","Amaranthus dubius"
"1656","Anemone quinquefolia","Anemone quinquefolia"
"1657","Gaylussacia baccata","Gaylussacia baccata"
"1658","Forsythia ovata","Forsythia ovata"
"1659","Rubus allegheniensis","Rubus allegheniensis"
"1660","Melampyrum lineare","Melampyrum lineare"
"1661","Polygala paucifolia","Polygala paucifolia"
"1662","Hieracium scabrum","Hieracium scabrum"
"1663","Corylus cornuta","Corylus cornuta"
"1664","Carex pensylvanica","Carex pensylvanica"
"1665","Vitis aestivalis","Vitis aestivalis"
"1666","Erigeron philadelphicus","Erigeron philadelphicus"
"1667","Prenanthes trifoliolata","Prenanthes trifoliolata"
"1668","Smilax herbacea","Smilax herbacea"
"1669","Brachyelytrum aristosum","Brachyelytrum aristosum"
"1670","Corylus americana","Corylus americana"
"1671","Frangula alnus","Frangula alnus"
"1672","Prunus virginiana","Prunus virginiana"
"1673","Rubus vermontanus","Rubus vermontanus"
"1674","Vitis labrusca","Vitis labrusca"
"1675","Amaranthus arenicola","Amaranthus arenicola"
"1676","Chelidonium majus","Chelidonium majus"
"1677","Erechtites hieraciifolia","Erechtites hieraciifolia"
"1678","Lysimachia punctata","Lysimachia punctata"
"1679","Cornus sericea","Cornus sericea"
"1680","Bartonia virginica","Bartonia virginica"
"1681","Cornus racemosa","Cornus racemosa"
"1682","Dichanthelium latifolium","Dichanthelium latifolium"
"1683","Amaranthus albus","Amaranthus albus"
"1684","Symphyotrichum racemosum","Symphyotrichum racemosum"
"1685","Viola sagittata","Viola sagittata"
"1686","Gaylussacia frondosa","Gaylussacia frondosa"
"1687","Photinia floribunda","Photinia floribunda"
"1688","Photinia melanocarpa","Photinia melanocarpa"
"1689","Photinia pyrifolia","Photinia pyrifolia"
"1690","Comptonia peregrina","Comptonia peregrina"
"1691","Apocynum androsaemifolium","Apocynum androsaemifolium"
"1692","Lysimachia terrestris","Lysimachia terrestris"
"1693","Rubus setosus","Rubus setosus"
"1694","Lysimachia vulgaris","Lysimachia vulgaris"
"1695","Fragaria vesca","Fragaria vesca"
"1696","Rhamnus cathartica","Rhamnus cathartica"
"1697","Dryopteris ×separabilis","Dryopteris ×separabilis"
"1698","Lonicera tatarica","Lonicera tatarica"
"1699","Solidago rugosa","Solidago rugosa"
"1700","Sesamum orientale","Sesamum orientale"
"1701","Polygonum arifolium","Polygonum arifolium"
"1702","Polygonum sagittatum","Polygonum sagittatum"
"1703","Carex echinata","Carex echinata"
"1704","Osmunda regalis","Osmunda regalis"
"1705","Phragmites australis","Phragmites australis"
"1706","Spiraea alba","Spiraea alba"
"1707","Alnus serrulata","Alnus serrulata"
"1708","Scirpus atrovirens","Scirpus atrovirens"
"1709","Carex debilis","Carex debilis"
"1710","Thelypteris palustris","Thelypteris palustris"
"1711","Cardamine pensylvanica","Cardamine pensylvanica"
"1712","Scutellaria lateriflora","Scutellaria lateriflora"
"1713","Ludwigia palustris","Ludwigia palustris"
"1714","Dryopteris ×boottii","Dryopteris ×boottii"
"1715","Toxicodendron vernix","Toxicodendron vernix"
"1716","Symphyotrichum lanceolatum","Symphyotrichum lanceolatum"
"1717","Epilobium ciliatum","Epilobium ciliatum"
"1718","Symphyotrichum lanceolatum","Symphyotrichum lanceolatum"
"1719","Carex intumescens","Carex intumescens"
"1720","Eupatorium perfoliatum","Eupatorium perfoliatum"
"1721","Solidago uliginosa","Solidago uliginosa"
"1722","Lythrum salicaria","Lythrum salicaria"
"1723","Lycopus americanus","Lycopus americanus"
"1724","Eupatorium perfoliatum","Eupatorium perfoliatum"
"1725","Mimulus ringens","Mimulus ringens"
"1726","Solidago gigantea","Solidago gigantea"
"1727","Lycopus uniflorus","Lycopus uniflorus"
"1728","Epilobium coloratum","Epilobium coloratum"
"1729","Carex atlantica","Carex atlantica"
"1730","Viola labradorica","Viola labradorica"
"1731","Carex folliculata","Carex folliculata"
"1732","Carex lurida","Carex lurida"
"1733","Spiraea alba","Spiraea alba"
"1734","Veronica officinalis","Veronica officinalis"
"1735","Panax trifolius","Panax trifolius"
"1736","Tiarella cordifolia","Tiarella cordifolia"
"1737","Rubus semisetosus","Rubus semisetosus"
"1738","Poa alsodes","Poa alsodes"
"1739","Carex digitalis","Carex digitalis"
"1740","Tilia cordata","Tilia cordata"
"1741","Symplocarpus foetidus","Symplocarpus foetidus"
"1742","Campanula glomerata","Campanula glomerata"
"1743","Iris versicolor","Iris versicolor"
"1744","Luzula echinata","Luzula echinata"
"1745","Thalictrum dioicum","Thalictrum dioicum"
"1746","Carex gracillima","Carex gracillima"
"1747","Luzula multiflora","Luzula multiflora"
"1748","Symphyotrichum undulatum","Symphyotrichum undulatum"
"1749","Hepatica nobilis","Hepatica nobilis"
"1750","Thalictrum pubescens","Thalictrum pubescens"
"1751","Streptopus lanceolatus","Streptopus lanceolatus"
"1752","Quercus ×rehderi","Quercus ×rehderi"
"1753","Spiraea tomentosa","Spiraea tomentosa"
"1754","Triadenum virginicum","Triadenum virginicum"
"1755","Viburnum recognitum","Viburnum recognitum"
"1756","Rubus recurvicaulis","Rubus recurvicaulis"
"1757","Viburnum lantana","Viburnum lantana"
"1758","Dichanthelium acuminatum","Dichanthelium acuminatum"
"1759","Asclepias incarnata","Asclepias incarnata"
"1760","Carex debilis","Carex debilis"
"1761","Rubus allegheniensis","Rubus allegheniensis"
"1762","Euonymus alatus","Euonymus alatus"
"1763","Malus pumila","Malus pumila"
"1764","Polemonium caeruleum","Polemonium caeruleum"
"1765","Drosera rotundifolia","Drosera rotundifolia"
"1766","Hydrocotyle americana","Hydrocotyle americana"
"1767","Dulichium arundinaceum","Dulichium arundinaceum"
"1768","Carex ovalis","Carex ovalis"
"1769","Carex utriculata","Carex utriculata"
"1770","Carex canescens","Carex canescens"
"1771","Leersia oryzoides","Leersia oryzoides"
"1772","Scirpus cyperinus","Scirpus cyperinus"
"1773","Dichanthelium dichotomum","Dichanthelium dichotomum"
"1774","Glyceria melicaria","Glyceria melicaria"
"1775","Carex crinita","Carex crinita"
"1776","Carex debilis","Carex debilis"
"1777","Rubus pubescens","Rubus pubescens"
"1778","Veratrum viride","Veratrum viride"
"1779","Viola cucullata","Viola cucullata"
"1780","Epipactis helleborine","Epipactis helleborine"
"1781","Toxicodendron radicans","Toxicodendron radicans"
"1782","Rosa palustris","Rosa palustris"
"1783","Rosa carolina","Rosa carolina"
"1784","Rosa carolina","Rosa carolina"
"1785","Carex leptalea","Carex leptalea"
"1786","Packera aurea","Packera aurea"
"1787","Artemisia tridentata","Artemisia tridentata"
"1788","Carex pallescens","Carex pallescens"
"1789","Euonymus alatus","Euonymus alatus"
"1790","Pastinaca sativa","Pastinaca sativa"
"1791","Phacelia viscida","Phacelia viscida"
"1792","Rubus idaeus","Rubus idaeus"
"1793","Lolium perenne","Lolium perenne"
"1794","Digitalis purpurea","Digitalis purpurea"
"1795","Digitalis lanata","Digitalis lanata"
"1796","Spiraea alba","Spiraea alba"
"1797","Galium trifidum","Galium trifidum"
"1798","Ligustrum obtusifolium","Ligustrum obtusifolium"
"1799","Agrostis hyemalis","Agrostis hyemalis"
"1800","Carex stricta","Carex stricta"
"1801","Lycopus virginicus","Lycopus virginicus"
"1802","Dichanthelium boreale","Dichanthelium boreale"
"1803","Carex communis","Carex communis"
"1804","Scutellaria lateriflora","Scutellaria lateriflora"
"1805","Kobresia simpliciuscula","Kobresia simpliciuscula"
"1806","Carex macrochaeta","Carex macrochaeta"
"1807","Rumex arcticus","Rumex arcticus"
"1808","Dodecatheon frigidum","Dodecatheon frigidum"
"1809","Poa arctica","Poa arctica"
"1810","Salix pulchra/richardsonii","Salix pulchra/richardsonii"
"1811","Carex microchaeta","Carex microchaeta"
"1812","Platanthera obtusata","Platanthera obtusata"
"1813","Moneses uniflora","Moneses uniflora"
"1814","Juncus castaneus","Juncus castaneus"
"1815","Juncus triglumis","Juncus triglumis"
"1816","Empetrum nigrum","Empetrum nigrum"
"1817","Andromeda polifolia","Andromeda polifolia"
"1818","Carex membranacea","Carex membranacea"
"1819","Salix reticulata","Salix reticulata"
"1820","Saxifraga nelsoniana","Saxifraga nelsoniana"
"1821","Carex loliacea","Carex loliacea"
"1822","Ranunculus hyperboreus","Ranunculus hyperboreus"
"1823","Trientalis europaea","Trientalis europaea"
"1824","Antennaria friesiana","Antennaria friesiana"
"1825","Antennaria rosea","Antennaria rosea"
"1826","Taraxacum phymatocarpum","Taraxacum phymatocarpum"
"1827","Tofieldia coccinea","Tofieldia coccinea"
"1828","Salix polaris","Salix polaris"
"1829","Carex capillaris","Carex capillaris"
"1830","Carex brunnescens","Carex brunnescens"
"1831","Adoxa moschatellina","Adoxa moschatellina"
"1832","Cardamine pratensis","Cardamine pratensis"
"1833","Salix pseudomyrsinites","Salix pseudomyrsinites"
"1834","Artemisia tilesii","Artemisia tilesii"
"1835","Artemisia alaskana","Artemisia alaskana"
"1836","Rumex acetosa","Rumex acetosa"
"1837","Cirsium horridulum","Cirsium horridulum"
"1838","Euphorbia pubentissima","Euphorbia pubentissima"
"1839","Helianthemum corymbosum","Helianthemum corymbosum"
"1840","Hieracium gronovii","Hieracium gronovii"
"1841","Mimosa quadrivalvis","Mimosa quadrivalvis"
"1842","Seymeria cassioides","Seymeria cassioides"
"1843","Cnidoscolus urens","Cnidoscolus urens"
"1844","Asimina angustifolia","Asimina angustifolia"
"1845","Eupatorium glaucescens","Eupatorium glaucescens"
"1846","Eupatorium leucolepis","Eupatorium leucolepis"
"1847","Helianthella californica","Helianthella californica"
"1848","Crotalaria rotundifolia","Crotalaria rotundifolia"
"1849","Houstonia procumbens","Houstonia procumbens"
"1850","Piriqueta cistoides","Piriqueta cistoides"
"1851","Desmodium lineatum","Desmodium lineatum"
"1852","Pityopsis graminifolia","Pityopsis graminifolia"
"1853","Polygala grandiflora","Polygala grandiflora"
"1854","Celtis tenuifolia","Celtis tenuifolia"
"1855","Desmodium floridanum","Desmodium floridanum"
"1856","Dyschoriste oblongifolia","Dyschoriste oblongifolia"
"1857","Vernonia angustifolia","Vernonia angustifolia"
"1858","Dichanthelium strigosum","Dichanthelium strigosum"
"1859","Elephantopus elatus","Elephantopus elatus"
"1860","Eupatorium hyssopifolium","Eupatorium hyssopifolium"
"1861","Lactuca graminifolia","Lactuca graminifolia"
"1862","Dichanthelium aciculare","Dichanthelium aciculare"
"1863","Dichanthelium ovale","Dichanthelium ovale"
"1864","Hieracium gracile","Hieracium gracile"
"1865","Chamaesyce hyssopifolia","Chamaesyce hyssopifolia"
"1866","Cyperus filiformis","Cyperus filiformis"
"1867","Salvia lyrata","Salvia lyrata"
"1868","Asclepias michauxii","Asclepias michauxii"
"1869","Oxalis albicans","Oxalis albicans"
"1870","Symphyotrichum dumosum","Symphyotrichum dumosum"
"1871","Tragia urens","Tragia urens"
"1872","Oxalis corniculata","Oxalis corniculata"
"1873","Pediomelum canescens","Pediomelum canescens"
"1874","Dendrophthora flagelliformis","Dendrophthora flagelliformis"
"1875","Erechtites glomerata","Erechtites glomerata"
"1876","Axonopus fissifolius","Axonopus fissifolius"
"1877","Lechea minor","Lechea minor"
"1878","Tephrosia florida","Tephrosia florida"
"1879","Cymopterus planosus","Cymopterus planosus"
"1880","Symphyotrichum concolor","Symphyotrichum concolor"
"1881","Symphyotrichum lanceolatum","Symphyotrichum lanceolatum"
"1882","Diodia teres","Diodia teres"
"1883","Wahlenbergia marginata","Wahlenbergia marginata"
"1884","Vaccinium myrsinites","Vaccinium myrsinites"
"1885","Galactia regularis","Galactia regularis"
