"Campanula lasiocarpa,"
"Solidago simplex,"
"Arnica frigida,"
"Calamagrostis purpurascens,"
"Carex siccata,"
"Erigeron acris,"
"Arctostaphylos rubra,"
"Pedicularis langsdorffii,"
"Salix reticulata,"
"Calamagrostis stricta,"
"Pedicularis lanata,"
"Arctostaphylos alpina,"
"Poa arctica,"
"Arnica frigida,"
"Castilleja caudata,"
"Taraxacum officinale,"
"Kobresia myosuroides,"
"Sanguisorba officinalis,"
"Zigadenus elegans,"
"Loiseleuria procumbens,"
"Aconitum delphiniifolium,"
"Pulsatilla patens,"
"Anthoxanthum monticola,"
"Pedicularis sudetica,"
"Equisetum palustre,"
"Equisetum pratense,"
"Anemone parviflora,"
"Gentianella propinqua,"
"Luzula arctica,"
"Puccinellia tenella,"
"Gentiana prostrata,"
"Carex aquatilis,"
"Bupleurum americanum,"
"Dryas octopetala,"
"Saxifraga bronchialis,"
"Minuartia obtusiloba,"
"Minuartia arctica,"
"Silene menziesii,"
"Poa glauca,"
"Senecio lugens,"
"Selaginella sibirica,"
"Botrychium lunaria,"
"Armeria maritima,"
"Cornus ×intermedia,"
"Oxytropis campestris,"
"Dasiphora fruticosa,"
"Mertensia paniculata,"
"Pyrola asarifolia,"
"Leymus innovatus,"
"Pyrola minor,"
"Rhododendron lapponicum,"
"Valeriana capitata,"
"Dasiphora fruticosa,"
"Campanula uniflora,"
"Iris setosa,"
"Polygonum bistorta,"
"Polygonum viviparum,"
"Juniperus communis,"
"Zigadenus elegans,"
"Polemonium pulcherrimum,"
"Polemonium acutiflorum,"
"Saussurea angustifolia,"
"Stellaria alaskana,"
"Alnus incana,"
"Salix niphoclada,"
"Arctostaphylos alpina,"
"Salix ovalifolia,"
"Carex rupestris,"
"Shepherdia canadensis,"
"Boschniakia rossica,"
"Carex rotundata,"
"Salix fuscescens,"
"Eriophorum angustifolium,"
"Pyrola chlorantha,"
"Rubus arcticus,"
"Salix lucida,"
"Carex tenuiflora,"
"Carex norvegica,"
"Carex scirpoidea,"
"Parnassia palustris,"
"Carex saxatilis,"
"Carex atrofusca,"
"Festuca viviparoidea,"
"Epilobium davuricum,"
"Ranunculus gmelinii,"
"Salix candida,"
"Goodyera repens,"
"Iris setosa,"
"Ampelopsis cordata,"
"Rubus argutus,"
"Carex grayi,"
"Commelina virginica,"
"Cryptotaenia canadensis,"
"Vitis cinerea,"
"Calycocarpum lyonii,"
